Time,Pressure (10^-12 Pa)
10:11,5
10:13,98
10:16,63
10:19,87
10:22,95
10:25,48
10:28,71
10:31,6
10:34,62
10:36,56
10:39,37
10:42,17
10:45,42
10:48,46
10:51,78
10:54,75
10:57,13
10:59,61
11:02,19
11:05,89
11:08,78
11:11,31
11:14,80
11:17,55
11:20,63
11:23,12
11:25,64
11:28,56
11:31,39
11:34,55
11:37,2
11:40,38
11:43,22
11:46,43
11:48,12
11:51,91
11:54,53
11:57,83
12:00,35
12:03,12
12:06,5
12:09,62
12:11,6
12:14,58
12:17,94
12:20,97
12:23,82
12:26,62
12:29,36
12:32,15
12:35,58
12:37,81
12:40,10
12:43,16
12:46,99
12:49,27
12:52,74
12:55,28
12:58,45
13:00,76
13:03,25
13:06,91
13:09,1
13:12,39
13:15,50
13:18,34
13:21,10
13:23,9
13:26,61
13:29,35
13:32,49
13:35,89
13:38,45
13:41,96
13:44,100
13:47,11
13:49,93
13:52,15
13:55,95
13:58,82
14:01,76
14:04,59
14:07,23
14:10,30
14:12,24
14:15,73
14:18,12
14:21,44
14:24,18
14:27,23
14:30,95
14:33,34
14:35,48
14:38,56
14:41,89
14:44,31
14:47,96
14:50,37
14:53,86
14:56,96
14:59,5
15:01,14
15:04,18
15:07,93
15:10,65
15:13,49
15:16,50
15:19,66
15:22,48
15:24,42
15:27,14
15:30,72
15:33,19
15:36,36
15:39,96
15:42,49
15:45,85
15:47,86
15:50,73
15:53,45
15:56,71
15:59,93
16:02,76
16:05,39
16:08,88
16:11,92
16:13,7
16:16,63
16:19,84
16:22,82
16:25,10
16:28,79
16:31,35
16:34,58
16:36,92
16:39,92
16:42,99
16:45,57
16:48,62
16:51,32
16:54,61
16:57,64
16:59,27
17:02,48
17:05,82
17:08,29
17:11,70
17:14,26
17:17,22
17:20,97
17:23,97
17:25,65
17:28,43
17:31,79
17:34,9
17:37,40
17:40,30
17:43,2
17:46,99
17:48,2
17:51,38
17:54,29
17:57,13
18:00,67
18:03,3
18:06,50
18:09,92
18:11,31
18:14,46
18:17,12
18:20,88
18:23,28
18:26,17
18:29,10
18:32,10
18:35,90
18:37,1
18:40,29
18:43,43
18:46,85
18:49,40
18:52,33
18:55,67
18:58,67
19:00,71
19:03,96
19:06,46
19:09,36
19:12,83
19:15,69
19:18,72
19:21,80
19:23,12
19:26,40
19:29,71
19:32,94
19:35,15
19:38,76
19:41,58
19:44,84
19:47,85
19:49,14
19:52,60
19:55,50
19:58,97
20:01,94
20:04,38
20:07,67
20:10,59
20:12,50
20:15,35
20:18,43
20:21,20
20:24,18
20:27,62
20:30,57
20:33,36
20:35,95
20:38,38
20:41,31
20:44,2
20:47,57
20:50,40
20:53,98
20:56,91
20:59,69
21:01,70
21:04,71
21:07,89
21:10,10
21:13,32
21:16,67
21:19,10
21:22,62
21:24,6
21:27,24
21:30,38
21:33,82
21:36,46
21:39,22
21:42,73
21:45,46
21:47,15
21:50,17
21:53,24
21:56,32
21:59,9
22:02,48
22:05,59
22:08,1
22:11,95
22:13,78
22:16,55
22:19,33
22:22,62
22:25,88
22:28,19
22:31,79
22:34,16
22:36,47
22:39,29
22:42,98
22:45,47
22:48,36
22:51,87
22:54,65
22:57,62
22:59,42
23:02,38
23:05,52
23:08,84
23:11,74
23:14,29
23:17,94
23:20,17
23:23,82
23:25,27
23:28,40
23:31,44
23:34,81
23:37,78
23:40,95
23:43,35
23:46,71
23:48,11
23:51,78
23:54,17
23:57,96
00:00,61
00:03,85
00:06,69
00:09,67
00:11,14
00:14,48
00:17,54
00:20,55
00:23,88
00:26,51
00:29,46
00:32,77
00:35,33
00:37,31
00:40,18
00:43,32
00:46,80
00:49,51
00:52,7
00:55,3
00:58,26
01:00,55
01:03,77
01:06,55
01:09,57
01:12,56
01:15,14
01:18,81
01:21,87
01:23,81
01:26,38
01:29,85
01:32,48
01:35,100
01:38,16
01:41,24
01:44,87
01:47,4
01:49,22
01:52,47
01:55,81
01:58,99
02:01,55
02:04,30
02:07,68
02:10,41
02:12,52
02:15,14
02:18,92
02:21,56
02:24,34
02:27,41
02:30,11
02:33,93
02:35,100
02:38,78
02:41,44
02:44,57
02:47,35
02:50,67
02:53,51
02:56,63
02:59,95
03:01,98
03:04,40
03:07,51
03:10,90
03:13,18
03:16,98
03:19,2
03:22,100
03:24,70
03:27,69
03:30,5
03:33,54
03:36,45
03:39,92
03:42,86
03:45,87
03:47,99
03:50,68
03:53,10
03:56,59
03:59,81
04:02,8
04:05,57
04:08,65
04:11,98
04:13,16
04:16,49
04:19,70
04:22,60
04:25,2
04:28,14
04:31,25
04:34,22
04:36,64
04:39,32
04:42,9
04:45,40
04:48,38
04:51,27
04:54,60
04:57,51
04:59,91
05:02,72
05:05,71
05:08,81
05:11,23
05:14,32
05:17,81
05:20,37
05:23,52
05:25,18
05:28,47
05:31,47
05:34,1
05:37,86
05:40,30
05:43,59
05:46,69
05:48,2
05:51,61
05:54,87
05:57,24
06:00,86
06:03,6
06:06,96
06:09,98
06:11,29
06:14,12
06:17,9
06:20,7
06:23,39
06:26,22
06:29,88
06:32,15
06:35,73
06:37,41
06:40,69
06:43,85
06:46,43
06:49,68
06:52,93
06:55,4
06:58,12
07:00,34
07:03,24
07:06,87
07:09,52
07:12,67
07:15,37
07:18,9
07:21,40
07:23,54
07:26,22
07:29,13
07:32,58
07:35,94
07:38,74
07:41,92
07:44,63
07:47,12
07:49,29
07:52,21
07:55,11
07:58,59
08:01,15
08:04,84
08:07,68
08:10,65
08:12,9
08:15,64
08:18,88
08:21,9
08:24,41
08:27,82
08:30,53
08:33,98
08:35,17
08:38,96
08:41,25
08:44,35
08:47,93
08:50,71
08:53,10
08:56,71
08:59,24
09:01,11
09:04,79
09:07,42
09:10,78
09:13,89
09:16,55
09:19,46
09:22,57
09:24,13
09:27,75
09:30,79
09:33,12
09:36,60
09:39,1
09:42,63
09:45,29
09:47,31
09:50,49
09:53,41
09:56,9
09:59,32
10:02,61
10:05,53
10:08,17
